what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555075638101
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555075638143
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555075638220
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555075658174
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555075660829
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1555075667917
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1555075734180
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1555075761339
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555075772068
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555075796262
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555075810507
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555075859830
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555075870409
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555075891413
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555075902176
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555076053151
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555076098933
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555076100967
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555076959864
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555076969345
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555076972492
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555077763780
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555077769740
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555077799253
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555077800519
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555077803726
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555077806630
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555077835283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555077836194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555077838860
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555077841411
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555077842441
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555077848134
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555080144783
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555080146092
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555081490622
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555081494805
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555082789667
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555082793598
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555082860848
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555084070731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555084071473
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555084072609
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555084073293
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1555084073960
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1555084073964
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1555084073966
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1555084073968
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1555084073971
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1555084073971
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1555084073971
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1555084073972
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1555084073975
stopped,bundle,org.lejos.ev3.ldt,0.9.1.201511161011,"org.lejos.ev3.ldt",1555084073975
stopped,bundle,org.lejos.nxt.ldt,0.9.0.201202141552,"org.lejos.nxt.ldt",1555084073976
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1555084073976
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1555084073995
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1555084073998
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1555084074005
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1555084074009
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1555084074012
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1555084074015
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1555084074015
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1555084074015
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1555084074018
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1555084074018
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1555084074019
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1555084074019
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1555084074021
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1555084074024
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1555084074024
